pickup_zone,dropoff_zone,avg_distance_km,avg_duration_hr
Astoria,Borough Park,16.25083243827882,0.6797222222222222
Astoria,Brooklyn Heights,8.82751804516855,0.44333333333333336
Astoria,Bushwick South,6.842049637096793,0.5180555555555555
Astoria,Central Harlem,4.989637954887142,0.45851851851851855
Astoria,Central Park,5.383195602035293,0.3636111111111111
Astoria,Clinton East,4.9007218226223985,0.3025
Astoria,Clinton West,5.722780045056258,0.27305555555555555
Astoria,East Elmhurst,3.6436798888253215,0.26555555555555554
Astoria,East Harlem North,4.1601621601898975,0.21597222222222223
Astoria,East Harlem South,3.2225693782840863,0.3064444444444444
Astoria,East New York,10.934612521288674,0.4147222222222222
Astoria,East Village,7.1407160128916844,0.45999999999999996
Astoria,East Williamsburg,6.144584046218129,0.2881481481481481
Astoria,Elmhurst,3.683711567178884,0.21666666666666665
